number_electoral_district,name_electoral_district,number_federal_state,federal_state
59,Märkisch-Oderland - Barnim II,12,Brandenburg
60,Brandenburg an der Havel - Potsdam-Mittelmark I - Havelland III - Teltow-Fläming I,12,Brandenburg
61,Potsdam - Potsdam-Mittelmark II - Teltow-Fläming II,12,Brandenburg
62,Dahme-Spreewald - Teltow-Fläming III - Oberspreewald-Lausitz I,12,Brandenburg
63,Frankfurt (Oder) - Oder-Spree,12,Brandenburg
64,Cottbus - Spree-Neiße,12,Brandenburg
65,Elbe-Elster - Oberspreewald-Lausitz II,12,Brandenburg
66,Altmark,15,Sachsen-Anhalt
67,Börde - Jerichower Land,15,Sachsen-Anhalt
68,Harz,15,Sachsen-Anhalt
69,Magdeburg,15,Sachsen-Anhalt
70,Dessau - Wittenberg,15,Sachsen-Anhalt
71,Anhalt,15,Sachsen-Anhalt
72,Halle,15,Sachsen-Anhalt
73,Burgenland - Saalekreis,15,Sachsen-Anhalt
74,Mansfeld,15,Sachsen-Anhalt
75,Berlin-Mitte,11,Berlin
76,Berlin-Pankow,11,Berlin
77,Berlin-Reinickendorf,11,Berlin
78,Berlin-Spandau - Charlottenburg Nord,11,Berlin
79,Berlin-Steglitz-Zehlendorf,11,Berlin
80,Berlin-Charlottenburg-Wilmersdorf,11,Berlin
81,Berlin-Tempelhof-Schöneberg,11,Berlin
82,Berlin-Neukölln,11,Berlin
83,Berlin-Friedrichshain-Kreuzberg - Prenzlauer Berg Ost,11,Berlin
84,Berlin-Treptow-Köpenick,11,Berlin
85,Berlin-Marzahn-Hellersdorf,11,Berlin
86,Berlin-Lichtenberg,11,Berlin
87,Aachen I,05,Nordrhein-Westfalen
88,Aachen II,05,Nordrhein-Westfalen
89,Heinsberg,05,Nordrhein-Westfalen
90,Düren,05,Nordrhein-Westfalen
91,Rhein-Erft-Kreis I,05,Nordrhein-Westfalen
92,Euskirchen - Rhein-Erft-Kreis II,05,Nordrhein-Westfalen
93,Köln I,05,Nordrhein-Westfalen
94,Köln II,05,Nordrhein-Westfalen
95,Köln III,05,Nordrhein-Westfalen
96,Bonn,05,Nordrhein-Westfalen
97,Rhein-Sieg-Kreis I,05,Nordrhein-Westfalen
98,Rhein-Sieg-Kreis II,05,Nordrhein-Westfalen
99,Oberbergischer Kreis,05,Nordrhein-Westfalen
100,Rheinisch-Bergischer Kreis,05,Nordrhein-Westfalen
101,Leverkusen - Köln IV,05,Nordrhein-Westfalen
102,Wuppertal I,05,Nordrhein-Westfalen
103,Solingen - Remscheid - Wuppertal II,05,Nordrhein-Westfalen
104,Mettmann I,05,Nordrhein-Westfalen
105,Mettmann II,05,Nordrhein-Westfalen
106,Düsseldorf I,05,Nordrhein-Westfalen
107,Düsseldorf II,05,Nordrhein-Westfalen
108,Neuss I,05,Nordrhein-Westfalen
109,Mönchengladbach,05,Nordrhein-Westfalen
110,Krefeld I - Neuss II,05,Nordrhein-Westfalen
111,Viersen,05,Nordrhein-Westfalen
112,Kleve,05,Nordrhein-Westfalen
113,Wesel I,05,Nordrhein-Westfalen
114,Krefeld II - Wesel II,05,Nordrhein-Westfalen
115,Duisburg I,05,Nordrhein-Westfalen
116,Duisburg II,05,Nordrhein-Westfalen
117,Oberhausen - Wesel III,05,Nordrhein-Westfalen
118,Mülheim - Essen I,05,Nordrhein-Westfalen
119,Essen II,05,Nordrhein-Westfalen
120,Essen III,05,Nordrhein-Westfalen
121,Recklinghausen I,05,Nordrhein-Westfalen
122,Recklinghausen II,05,Nordrhein-Westfalen
123,Gelsenkirchen,05,Nordrhein-Westfalen
124,Steinfurt I - Borken I,05,Nordrhein-Westfalen
125,Bottrop - Recklinghausen III,05,Nordrhein-Westfalen
126,Borken II,05,Nordrhein-Westfalen
