county,year_short,candidate_votes,party,state,county_fips
DICKEY,2016,1667,REPUBLICAN,NORTH DAKOTA,38021
DICKEY,2020,1742,REPUBLICAN,NORTH DAKOTA,38021
DICKINSON,0002,6932,REPUBLICAN,MICHIGAN,26043
DICKINSON,2004,7734,REPUBLICAN,MICHIGAN,26043
DICKINSON,2008,7049,REPUBLICAN,MICHIGAN,26043
DICKINSON,2012,7688,REPUBLICAN,MICHIGAN,26043
DICKINSON,2016,8580,REPUBLICAN,MICHIGAN,26043
DICKINSON,2020,9617,REPUBLICAN,MICHIGAN,26043
DICKSON,2000,8332,DEMOCRAT,TENNESSEE,47043
DICKSON,2004,10557,REPUBLICAN,TENNESSEE,47043
DICKSON,2008,11677,REPUBLICAN,TENNESSEE,47043
DICKSON,2012,11296,REPUBLICAN,TENNESSEE,47043
DICKSON,2016,13233,REPUBLICAN,TENNESSEE,47043
DICKSON,2020,17643,REPUBLICAN,TENNESSEE,47043
DILLON,2000,4930,DEMOCRAT,SOUTH CAROLINA,45033
DILLON,2004,4832,DEMOCRAT,SOUTH CAROLINA,45033
DILLON,2008,7408,DEMOCRAT,SOUTH CAROLINA,45033
DILLON,2012,7523,DEMOCRAT,SOUTH CAROLINA,45033
DILLON,2016,5834,DEMOCRAT,SOUTH CAROLINA,45033
DILLON,2020,4186,REPUBLICAN,SOUTH CAROLINA,45033
DIMMIT,2000,2678,DEMOCRAT,TEXAS,48127
DIMMIT,2004,2365,DEMOCRAT,TEXAS,48127
DIMMIT,2008,2692,DEMOCRAT,TEXAS,48127
DIMMIT,2012,2141,DEMOCRAT,TEXAS,48127
DIMMIT,2016,2173,DEMOCRAT,TEXAS,48127
DIMMIT,2020,2264,DEMOCRAT,TEXAS,48127
DINWIDDIE,2000,4959,REPUBLICAN,VIRGINIA,51053
DINWIDDIE,2004,6193,REPUBLICAN,VIRGINIA,51053
DINWIDDIE,2008,6526,REPUBLICAN,VIRGINIA,51053
DINWIDDIE,2012,6875,REPUBLICAN,VIRGINIA,51053
DINWIDDIE,2016,7447,REPUBLICAN,VIRGINIA,51053
DINWIDDIE,2020,4709,REPUBLICAN,VIRGINIA,51053
DISTRICT 1,2000,4681,REPUBLICAN,ALASKA,02001
DISTRICT 1,2004,6303,REPUBLICAN,ALASKA,02001
DISTRICT 1,2008,4149,REPUBLICAN,ALASKA,02001
DISTRICT 1,2012,5899,REPUBLICAN,ALASKA,02001
DISTRICT 1,2016,3180,REPUBLICAN,ALASKA,02001
DISTRICT 1,2020,3511,REPUBLICAN,ALASKA,02001
DISTRICT 10,2000,5673,REPUBLICAN,ALASKA,02010
DISTRICT 10,2004,6745,REPUBLICAN,ALASKA,02010
DISTRICT 10,2008,3392,REPUBLICAN,ALASKA,02010
DISTRICT 10,2012,4928,REPUBLICAN,ALASKA,02010
DISTRICT 10,2016,6255,REPUBLICAN,ALASKA,02010
DISTRICT 10,2020,8081,REPUBLICAN,ALASKA,02010
DISTRICT 11,2000,3960,REPUBLICAN,ALASKA,02011
DISTRICT 11,2004,9280,REPUBLICAN,ALASKA,02011
DISTRICT 11,2008,7736,REPUBLICAN,ALASKA,02011
DISTRICT 11,2012,6057,REPUBLICAN,ALASKA,02011
DISTRICT 11,2016,6444,REPUBLICAN,ALASKA,02011
DISTRICT 11,2020,7096,REPUBLICAN,ALASKA,02011
DISTRICT 12,2000,4626,REPUBLICAN,ALASKA,02012
DISTRICT 12,2004,8108,REPUBLICAN,ALASKA,02012
DISTRICT 12,2008,5467,REPUBLICAN,ALASKA,02012
DISTRICT 12,2012,4300,REPUBLICAN,ALASKA,02012
DISTRICT 12,2016,6629,REPUBLICAN,ALASKA,02012
DISTRICT 12,2020,7893,REPUBLICAN,ALASKA,02012
DISTRICT 13,2000,3853,REPUBLICAN,ALASKA,02013
DISTRICT 13,2004,10702,REPUBLICAN,ALASKA,02013
DISTRICT 13,2008,8432,REPUBLICAN,ALASKA,02013
DISTRICT 13,2012,3078,REPUBLICAN,ALASKA,02013
DISTRICT 13,2016,4028,REPUBLICAN,ALASKA,02013
DISTRICT 13,2020,4652,REPUBLICAN,ALASKA,02013
DISTRICT 14,2000,3750,REPUBLICAN,ALASKA,02014
DISTRICT 14,2004,10717,REPUBLICAN,ALASKA,02014
DISTRICT 14,2008,8108,REPUBLICAN,ALASKA,02014
DISTRICT 14,2012,3453,REPUBLICAN,ALASKA,02014
DISTRICT 14,2016,5978,REPUBLICAN,ALASKA,02014
DISTRICT 14,2020,6714,REPUBLICAN,ALASKA,02014
DISTRICT 15,2000,2453,REPUBLICAN,ALASKA,02015
DISTRICT 15,2004,10058,REPUBLICAN,ALASKA,02015
DISTRICT 15,2008,8227,REPUBLICAN,ALASKA,02015
DISTRICT 15,2012,3283,DEMOCRAT,ALASKA,02015
DISTRICT 15,2016,2525,REPUBLICAN,ALASKA,02015
DISTRICT 15,2020,2671,REPUBLICAN,ALASKA,02015
DISTRICT 16,2000,1980,REPUBLICAN,ALASKA,02016
DISTRICT 16,2004,10587,REPUBLICAN,ALASKA,02016
DISTRICT 16,2008,7774,REPUBLICAN,ALASKA,02016
DISTRICT 16,2012,4013,DEMOCRAT,ALASKA,02016
DISTRICT 16,2016,3294,DEMOCRAT,ALASKA,02016
DISTRICT 16,2020,4274,DEMOCRAT,ALASKA,02016
DISTRICT 17,2000,4564,REPUBLICAN,ALASKA,02017
DISTRICT 17,2004,10491,REPUBLICAN,ALASKA,02017
DISTRICT 17,2008,6621,REPUBLICAN,ALASKA,02017
DISTRICT 17,2012,2853,DEMOCRAT,ALASKA,02017
DISTRICT 17,2016,3290,DEMOCRAT,ALASKA,02017
DISTRICT 17,2020,4136,DEMOCRAT,ALASKA,02017
DISTRICT 18,2000,5421,REPUBLICAN,ALASKA,02018
DISTRICT 18,2004,8424,REPUBLICAN,ALASKA,02018
DISTRICT 18,2008,4252,REPUBLICAN,ALASKA,02018
DISTRICT 18,2012,4247,DEMOCRAT,ALASKA,02018
DISTRICT 18,2016,3909,DEMOCRAT,ALASKA,02018
DISTRICT 18,2020,4681,DEMOCRAT,ALASKA,02018
DISTRICT 19,2000,4619,REPUBLICAN,ALASKA,02019
DISTRICT 19,2004,8014,REPUBLICAN,ALASKA,02019
DISTRICT 19,2008,4106,REPUBLICAN,ALASKA,02019
DISTRICT 19,2012,4126,DEMOCRAT,ALASKA,02019
DISTRICT 19,2016,2669,DEMOCRAT,ALASKA,02019
DISTRICT 19,2020,3118,DEMOCRAT,ALASKA,02019
DISTRICT 2,2000,4235,REPUBLICAN,ALASKA,02002
DISTRICT 2,2004,5943,REPUBLICAN,ALASKA,02002
DISTRICT 2,2008,4029,REPUBLICAN,ALASKA,02002
DISTRICT 2,2012,5509,REPUBLICAN,ALASKA,02002
DISTRICT 2,2016,3188,REPUBLICAN,ALASKA,02002
DISTRICT 2,2020,3674,REPUBLICAN,ALASKA,02002
DISTRICT 20,2000,3648,REPUBLICAN,ALASKA,02020
DISTRICT 20,2004,6632,REPUBLICAN,ALASKA,02020
DISTRICT 20,2008,2536,REPUBLICAN,ALASKA,02020
DISTRICT 20,2012,4544,REPUBLICAN,ALASKA,02020
DISTRICT 20,2016,4151,DEMOCRAT,ALASKA,02020
DISTRICT 20,2020,4881,DEMOCRAT,ALASKA,02020
DISTRICT 21,2000,3263,REPUBLICAN,ALASKA,02021
DISTRICT 21,2004,8818,REPUBLICAN,ALASKA,02021
DISTRICT 21,2008,4837,REPUBLICAN,ALASKA,02021
DISTRICT 21,2012,5262,REPUBLICAN,ALASKA,02021
DISTRICT 21,2016,4224,DEMOCRAT,ALASKA,02021
DISTRICT 21,2020,5414,DEMOCRAT,ALASKA,02021
DISTRICT 22,2000,4910,REPUBLICAN,ALASKA,02022
DISTRICT 22,2004,7207,REPUBLICAN,ALASKA,02022
DISTRICT 22,2008,3337,DEMOCRAT,ALASKA,02022
DISTRICT 22,2012,3445,REPUBLICAN,ALASKA,02022
DISTRICT 22,2016,4203,REPUBLICAN,ALASKA,02022
DISTRICT 22,2020,4684,REPUBLICAN,ALASKA,02022
DISTRICT 23,2000,2961,REPUBLICAN,ALASKA,02023
DISTRICT 23,2004,6576,REPUBLICAN,ALASKA,02023
DISTRICT 23,2008,4075,DEMOCRAT,ALASKA,02023
DISTRICT 23,2012,4926,REPUBLICAN,ALASKA,02023
DISTRICT 23,2016,3246,REPUBLICAN,ALASKA,02023
DISTRICT 23,2020,3810,DEMOCRAT,ALASKA,02023
DISTRICT 24,2000,5063,REPUBLICAN,ALASKA,02024
DISTRICT 24,2004,7622,REPUBLICAN,ALASKA,02024
DISTRICT 24,2008,4127,REPUBLICAN,ALASKA,02024
DISTRICT 24,2012,3912,REPUBLICAN,ALASKA,02024
DISTRICT 24,2016,4709,REPUBLICAN,ALASKA,02024
DISTRICT 24,2020,5378,REPUBLICAN,ALASKA,02024
DISTRICT 25,2000,5489,REPUBLICAN,ALASKA,02025
DISTRICT 25,2004,6892,REPUBLICAN,ALASKA,02025
DISTRICT 25,2008,3233,DEMOCRAT,ALASKA,02025
DISTRICT 25,2012,4569,REPUBLICAN,ALASKA,02025
DISTRICT 25,2016,3816,REPUBLICAN,ALASKA,02025
DISTRICT 25,2020,4600,DEMOCRAT,ALASKA,02025
DISTRICT 26,2000,5869,REPUBLICAN,ALASKA,02026
DISTRICT 26,2004,7776,REPUBLICAN,ALASKA,02026
DISTRICT 26,2008,4472,DEMOCRAT,ALASKA,02026
DISTRICT 26,2012,6968,REPUBLICAN,ALASKA,02026
DISTRICT 26,2016,4548,REPUBLICAN,ALASKA,02026
DISTRICT 26,2020,5243,REPUBLICAN,ALASKA,02026
DISTRICT 27,2000,6714,REPUBLICAN,ALASKA,02027
DISTRICT 27,2004,8500,REPUBLICAN,ALASKA,02027
DISTRICT 27,2008,5159,REPUBLICAN,ALASKA,02027
DISTRICT 27,2012,6015,REPUBLICAN,ALASKA,02027
DISTRICT 27,2016,4085,REPUBLICAN,ALASKA,02027
DISTRICT 27,2020,4844,DEMOCRAT,ALASKA,02027
DISTRICT 28,2000,7113,REPUBLICAN,ALASKA,02028
DISTRICT 28,2004,9073,REPUBLICAN,ALASKA,02028
DISTRICT 28,2008,5953,REPUBLICAN,ALASKA,02028
DISTRICT 28,2012,5882,REPUBLICAN,ALASKA,02028
DISTRICT 28,2016,5423,REPUBLICAN,ALASKA,02028
DISTRICT 28,2020,6264,DEMOCRAT,ALASKA,02028
DISTRICT 29,2000,4054,REPUBLICAN,ALASKA,02029
DISTRICT 29,2004,7743,REPUBLICAN,ALASKA,02029
DISTRICT 29,2008,4127,REPUBLICAN,ALASKA,02029
DISTRICT 29,2012,5774,REPUBLICAN,ALASKA,02029
DISTRICT 29,2016,6347,REPUBLICAN,ALASKA,02029
DISTRICT 29,2020,7464,REPUBLICAN,ALASKA,02029
DISTRICT 3,2000,3693,DEMOCRAT,ALASKA,02003
DISTRICT 3,2004,6513,DEMOCRAT,ALASKA,02003
DISTRICT 3,2008,5657,DEMOCRAT,ALASKA,02003
DISTRICT 3,2012,3769,REPUBLICAN,ALASKA,02003
DISTRICT 3,2016,5403,REPUBLICAN,ALASKA,02003
DISTRICT 3,2020,6076,REPUBLICAN,ALASKA,02003
DISTRICT 30,2000,3622,REPUBLICAN,ALASKA,02030
DISTRICT 30,2004,8733,REPUBLICAN,ALASKA,02030
DISTRICT 30,2008,5500,REPUBLICAN,ALASKA,02030
DISTRICT 30,2012,5492,REPUBLICAN,ALASKA,02030
DISTRICT 30,2016,6194,REPUBLICAN,ALASKA,02030
DISTRICT 30,2020,7180,REPUBLICAN,ALASKA,02030
DISTRICT 31,2000,3326,REPUBLICAN,ALASKA,02031
DISTRICT 31,2004,9605,REPUBLICAN,ALASKA,02031
DISTRICT 31,2008,6419,REPUBLICAN,ALASKA,02031
DISTRICT 31,2012,4679,DEMOCRAT,ALASKA,02031
DISTRICT 31,2016,5617,REPUBLICAN,ALASKA,02031
DISTRICT 31,2020,6971,REPUBLICAN,ALASKA,02031
DISTRICT 32,2000,4178,REPUBLICAN,ALASKA,02032
DISTRICT 32,2004,9783,REPUBLICAN,ALASKA,02032
DISTRICT 32,2008,6867,REPUBLICAN,ALASKA,02032
DISTRICT 32,2012,5930,DEMOCRAT,ALASKA,02032
DISTRICT 32,2016,3764,REPUBLICAN,ALASKA,02032
DISTRICT 32,2020,4440,REPUBLICAN,ALASKA,02032
DISTRICT 33,2000,5804,REPUBLICAN,ALASKA,02033
DISTRICT 33,2004,7344,REPUBLICAN,ALASKA,02033
DISTRICT 33,2008,6571,REPUBLICAN,ALASKA,02033
DISTRICT 33,2012,4289,REPUBLICAN,ALASKA,02033
DISTRICT 33,2016,5978,DEMOCRAT,ALASKA,02033
DISTRICT 33,2020,7535,DEMOCRAT,ALASKA,02033
DISTRICT 34,2000,5243,REPUBLICAN,ALASKA,02034
DISTRICT 34,2004,7886,REPUBLICAN,ALASKA,02034
DISTRICT 34,2008,7358,REPUBLICAN,ALASKA,02034
DISTRICT 34,2012,4662,DEMOCRAT,ALASKA,02034
DISTRICT 34,2016,4220,DEMOCRAT,ALASKA,02034
DISTRICT 34,2020,5763,DEMOCRAT,ALASKA,02034
DISTRICT 35,2000,4278,REPUBLICAN,ALASKA,02035
DISTRICT 35,2004,6007,REPUBLICAN,ALASKA,02035
DISTRICT 35,2008,4959,REPUBLICAN,ALASKA,02035
DISTRICT 35,2012,3804,REPUBLICAN,ALASKA,02035
DISTRICT 35,2016,4105,REPUBLICAN,ALASKA,02035
DISTRICT 35,2020,5011,DEMOCRAT,ALASKA,02035
DISTRICT 36,2000,3007,REPUBLICAN,ALASKA,02036
DISTRICT 36,2004,5645,REPUBLICAN,ALASKA,02036
DISTRICT 36,2008,4201,REPUBLICAN,ALASKA,02036
DISTRICT 36,2012,3341,DEMOCRAT,ALASKA,02036
DISTRICT 36,2016,4460,REPUBLICAN,ALASKA,02036
DISTRICT 36,2020,5114,REPUBLICAN,ALASKA,02036
DISTRICT 37,2000,2725,REPUBLICAN,ALASKA,02037
DISTRICT 37,2004,3046,REPUBLICAN,ALASKA,02037
DISTRICT 37,2008,2661,REPUBLICAN,ALASKA,02037
DISTRICT 37,2012,2631,DEMOCRAT,ALASKA,02037
DISTRICT 37,2016,2421,DEMOCRAT,ALASKA,02037
DISTRICT 37,2020,2560,DEMOCRAT,ALASKA,02037
DISTRICT 38,2000,2467,REPUBLICAN,ALASKA,02038
DISTRICT 38,2004,2459,REPUBLICAN,ALASKA,02038
DISTRICT 38,2008,2549,DEMOCRAT,ALASKA,02038
DISTRICT 38,2012,4101,DEMOCRAT,ALASKA,02038
DISTRICT 38,2016,2758,DEMOCRAT,ALASKA,02038
DISTRICT 38,2020,3202,DEMOCRAT,ALASKA,02038
DISTRICT 39,2000,2321,REPUBLICAN,ALASKA,02039
DISTRICT 39,2004,2881,REPUBLICAN,ALASKA,02039
DISTRICT 39,2008,2695,DEMOCRAT,ALASKA,02039
DISTRICT 39,2012,3645,DEMOCRAT,ALASKA,02039
DISTRICT 39,2016,3142,DEMOCRAT,ALASKA,02039
DISTRICT 39,2020,3580,DEMOCRAT,ALASKA,02039
DISTRICT 4,2000,4127,REPUBLICAN,ALASKA,02004
DISTRICT 4,2004,5802,REPUBLICAN,ALASKA,02004
DISTRICT 4,2008,4302,REPUBLICAN,ALASKA,02004
DISTRICT 4,2012,3586,REPUBLICAN,ALASKA,02004
DISTRICT 4,2016,4162,DEMOCRAT,ALASKA,02004
DISTRICT 4,2020,5345,DEMOCRAT,ALASKA,02004
DISTRICT 40,2000,1831,REPUBLICAN,ALASKA,02040
DISTRICT 40,2004,3217,REPUBLICAN,ALASKA,02040
DISTRICT 40,2008,2686,REPUBLICAN,ALASKA,02040
DISTRICT 40,2012,2717,DEMOCRAT,ALASKA,02040
DISTRICT 40,2016,2338,DEMOCRAT,ALASKA,02040
DISTRICT 40,2020,2318,DEMOCRAT,ALASKA,02040
DISTRICT 5,2000,3545,REPUBLICAN,ALASKA,02005
DISTRICT 5,2004,5439,REPUBLICAN,ALASKA,02005
DISTRICT 5,2008,3426,REPUBLICAN,ALASKA,02005
DISTRICT 5,2012,4027,REPUBLICAN,ALASKA,02005
DISTRICT 5,2016,3683,REPUBLICAN,ALASKA,02005
DISTRICT 5,2020,4204,DEMOCRAT,ALASKA,02005
DISTRICT 6,2000,3862,REPUBLICAN,ALASKA,02006
DISTRICT 6,2004,6177,REPUBLICAN,ALASKA,02006
DISTRICT 6,2008,4234,REPUBLICAN,ALASKA,02006
DISTRICT 6,2012,5254,REPUBLICAN,ALASKA,02006
DISTRICT 6,2016,4929,REPUBLICAN,ALASKA,02006
DISTRICT 6,2020,5770,REPUBLICAN,ALASKA,02006
DISTRICT 7,2000,4868,REPUBLICAN,ALASKA,02007
DISTRICT 7,2004,7693,REPUBLICAN,ALASKA,02007
DISTRICT 7,2008,6297,REPUBLICAN,ALASKA,02007
DISTRICT 7,2012,5247,REPUBLICAN,ALASKA,02007
DISTRICT 7,2016,5935,REPUBLICAN,ALASKA,02007
DISTRICT 7,2020,7027,REPUBLICAN,ALASKA,02007
DISTRICT 8,2000,5371,REPUBLICAN,ALASKA,02008
DISTRICT 8,2004,6615,REPUBLICAN,ALASKA,02008
DISTRICT 8,2008,4995,DEMOCRAT,ALASKA,02008
DISTRICT 8,2012,5826,REPUBLICAN,ALASKA,02008
DISTRICT 8,2016,6126,REPUBLICAN,ALASKA,02008
DISTRICT 8,2020,7618,REPUBLICAN,ALASKA,02008
DISTRICT 9,2000,4789,REPUBLICAN,ALASKA,02009
DISTRICT 9,2004,6934,REPUBLICAN,ALASKA,02009
DISTRICT 9,2008,4141,REPUBLICAN,ALASKA,02009
DISTRICT 9,2012,5432,REPUBLICAN,ALASKA,02009
DISTRICT 9,2016,6100,REPUBLICAN,ALASKA,02009
DISTRICT 9,2020,7787,REPUBLICAN,ALASKA,02009
DISTRICT 99,2000,0,DEMOCRAT,ALASKA,02099
DISTRICT 99,2004,0,DEMOCRAT,ALASKA,02099
DISTRICT 99,2008,0,OTHER,ALASKA,02099
DISTRICT 99,2012,0,OTHER,ALASKA,02099
DISTRICT 99,2016,274,DEMOCRAT,ALASKA,02099
DISTRICT 99,2020,373,DEMOCRAT,ALASKA,02099
DISTRICT OF COLUMBIA,0002,171923,DEMOCRAT,DISTRICT OF COLUMBIA,11001
DISTRICT OF COLUMBIA,2004,202970,DEMOCRAT,DISTRICT OF COLUMBIA,11001
DISTRICT OF COLUMBIA,2008,245800,DEMOCRAT,DISTRICT OF COLUMBIA,11001
DISTRICT OF COLUMBIA,2012,267070,DEMOCRAT,DISTRICT OF COLUMBIA,11001
DISTRICT OF COLUMBIA,2016,282830,DEMOCRAT,DISTRICT OF COLUMBIA,11001
DISTRICT OF COLUMBIA,2020,317323,DEMOCRAT,DISTRICT OF COLUMBIA,00000
DIVIDE,0002,443,REPUBLICAN,NORTH DAKOTA,38023
DIVIDE,2004,751,REPUBLICAN,NORTH DAKOTA,38023
DIVIDE,2008,630,REPUBLICAN,NORTH DAKOTA,38023
DIVIDE,2012,733,REPUBLICAN,NORTH DAKOTA,38023
DIVIDE,2016,867,REPUBLICAN,NORTH DAKOTA,38023
DIVIDE,2020,904,REPUBLICAN,NORTH DAKOTA,38023
DIXIE,0002,2697,REPUBLICAN,FLORIDA,12029
DIXIE,2004,4434,REPUBLICAN,FLORIDA,12029
DIXIE,2008,5194,REPUBLICAN,FLORIDA,12029
DIXIE,2012,5052,REPUBLICAN,FLORIDA,12029
DIXIE,2016,5822,REPUBLICAN,FLORIDA,12029
DIXIE,2020,6759,REPUBLICAN,FLORIDA,12029
DIXON,0002,1834,REPUBLICAN,NEBRASKA,31051
DIXON,2004,2028,REPUBLICAN,NEBRASKA,31051
DIXON,2008,1785,REPUBLICAN,NEBRASKA,31051
DIXON,2012,1745,REPUBLICAN,NEBRASKA,31051
DIXON,2016,2041,REPUBLICAN,NEBRASKA,31051
DIXON,2020,2335,REPUBLICAN,NEBRASKA,31051
DODDRIDGE,2000,1955,REPUBLICAN,WEST VIRGINIA,54017
DODDRIDGE,2004,2362,REPUBLICAN,WEST VIRGINIA,54017
DODDRIDGE,2008,2218,REPUBLICAN,WEST VIRGINIA,54017
DODDRIDGE,2012,2130,REPUBLICAN,WEST VIRGINIA,54017
DODDRIDGE,2016,2358,REPUBLICAN,WEST VIRGINIA,54017
DODDRIDGE,2020,2619,REPUBLICAN,WEST VIRGINIA,54017
DODGE,0002,8871,REPUBLICAN,NEBRASKA,31053
DODGE,2000,21684,REPUBLICAN,WISCONSIN,55027
DODGE,2004,27201,REPUBLICAN,WISCONSIN,55027
DODGE,2008,23015,REPUBLICAN,WISCONSIN,55027
DODGE,2012,25211,REPUBLICAN,WISCONSIN,55027
DODGE,2016,26643,REPUBLICAN,WISCONSIN,55027
DODGE,2020,31355,REPUBLICAN,WISCONSIN,55027
DOLORES,0002,741,REPUBLICAN,COLORADO,08033
DOLORES,2004,785,REPUBLICAN,COLORADO,08033
DOLORES,2008,818,REPUBLICAN,COLORADO,08033
DOLORES,2012,859,REPUBLICAN,COLORADO,08033
DOLORES,2016,944,REPUBLICAN,COLORADO,08033
DOLORES,2020,1089,REPUBLICAN,COLORADO,08033
DONA ANA,0002,23912,DEMOCRAT,NEW MEXICO,35013
DONA ANA,2004,31762,DEMOCRAT,NEW MEXICO,35013
DONA ANA,2008,40282,DEMOCRAT,NEW MEXICO,35013
DONA ANA,2012,37139,DEMOCRAT,NEW MEXICO,35013
DONA ANA,2016,37947,DEMOCRAT,NEW MEXICO,35013
DONA ANA,2020,47957,DEMOCRAT,NEW MEXICO,35013
DONIPHAN,0002,2350,REPUBLICAN,KANSAS,20043
DONIPHAN,2004,2491,REPUBLICAN,KANSAS,20043
DONIPHAN,2008,2372,REPUBLICAN,KANSAS,20043
DONIPHAN,2012,2414,REPUBLICAN,KANSAS,20043
DONIPHAN,2016,2606,REPUBLICAN,KANSAS,20043
DONIPHAN,2020,2976,REPUBLICAN,KANSAS,20043
DONLEY,2000,1333,REPUBLICAN,TEXAS,48129
DONLEY,2004,1429,REPUBLICAN,TEXAS,48129
DONLEY,2008,1374,REPUBLICAN,TEXAS,48129
DONLEY,2012,1287,REPUBLICAN,TEXAS,48129
DONLEY,2016,1225,REPUBLICAN,TEXAS,48129
DONLEY,2020,1438,REPUBLICAN,TEXAS,48129
DOOLY,0002,1901,DEMOCRAT,GEORGIA,13093
DOOLY,2004,1973,DEMOCRAT,GEORGIA,13093
DOOLY,2008,2138,DEMOCRAT,GEORGIA,13093
DOOLY,2012,2285,DEMOCRAT,GEORGIA,13093
DOOLY,2016,1951,REPUBLICAN,GEORGIA,13093
DOOLY,2020,1431,REPUBLICAN,GEORGIA,13093
DOOR,2000,7810,REPUBLICAN,WISCONSIN,55029
DOOR,2004,8910,REPUBLICAN,WISCONSIN,55029
DOOR,2008,10142,DEMOCRAT,WISCONSIN,55029
DOOR,2012,9357,DEMOCRAT,WISCONSIN,55029
DOOR,2016,8584,REPUBLICAN,WISCONSIN,55029
DOOR,2020,10044,DEMOCRAT,WISCONSIN,55029
DORCHESTER,0002,5847,REPUBLICAN,MARYLAND,24019
DORCHESTER,2000,20734,REPUBLICAN,SOUTH CAROLINA,45035
DORCHESTER,2004,26006,REPUBLICAN,SOUTH CAROLINA,45035
DORCHESTER,2008,29929,REPUBLICAN,SOUTH CAROLINA,45035
DORCHESTER,2012,32531,REPUBLICAN,SOUTH CAROLINA,45035
DORCHESTER,2016,34987,REPUBLICAN,SOUTH CAROLINA,45035
DORCHESTER,2020,19301,REPUBLICAN,SOUTH CAROLINA,45035
DOUGHERTY,0002,16650,DEMOCRAT,GEORGIA,13095
DOUGHERTY,2004,19805,DEMOCRAT,GEORGIA,13095
DOUGHERTY,2008,26135,DEMOCRAT,GEORGIA,13095
DOUGHERTY,2012,26295,DEMOCRAT,GEORGIA,13095
DOUGHERTY,2016,23311,DEMOCRAT,GEORGIA,13095
DOUGHERTY,2020,9124,DEMOCRAT,GEORGIA,13095
DOUGLAS,0002,101025,REPUBLICAN,NEBRASKA,31055
DOUGLAS,2000,30294,REPUBLICAN,OREGON,41019
DOUGLAS,2004,120813,REPUBLICAN,NEBRASKA,31055
DOUGLAS,2008,116810,DEMOCRAT,NEBRASKA,31055
DOUGLAS,2012,113220,REPUBLICAN,NEBRASKA,31055
DOUGLAS,2016,113798,DEMOCRAT,NEBRASKA,31055
DOUGLAS,2020,150350,DEMOCRAT,NEBRASKA,31055
DREW,0002,3060,DEMOCRAT,ARKANSAS,05043
DREW,2004,3262,REPUBLICAN,ARKANSAS,05043
DREW,2008,3860,REPUBLICAN,ARKANSAS,05043
DREW,2012,3887,REPUBLICAN,ARKANSAS,05043
DREW,2016,3968,REPUBLICAN,ARKANSAS,05043
DREW,2020,3126,REPUBLICAN,ARKANSAS,05043
DUBOIS,0002,10134,REPUBLICAN,INDIANA,18037
DUBOIS,2004,11726,REPUBLICAN,INDIANA,18037
DUBOIS,2008,9526,REPUBLICAN,INDIANA,18037
DUBOIS,2012,11654,REPUBLICAN,INDIANA,18037
DUBOIS,2016,13365,REPUBLICAN,INDIANA,18037
DUBOIS,2020,15033,REPUBLICAN,INDIANA,18037
DUBUQUE,0002,22341,DEMOCRAT,IOWA,19061
DUBUQUE,2004,26561,DEMOCRAT,IOWA,19061
DUBUQUE,2008,28611,DEMOCRAT,IOWA,19061
DUBUQUE,2012,28768,DEMOCRAT,IOWA,19061
DUBUQUE,2016,23460,REPUBLICAN,IOWA,19061
DUBUQUE,2020,20687,DEMOCRAT,IOWA,19061
DUCHESNE,2000,3622,REPUBLICAN,UTAH,49013
DUCHESNE,2004,4742,REPUBLICAN,UTAH,49013
DUCHESNE,2008,4689,REPUBLICAN,UTAH,49013
DUCHESNE,2012,5698,REPUBLICAN,UTAH,49013
DUCHESNE,2016,5508,REPUBLICAN,UTAH,49013
DUCHESNE,2020,7512,REPUBLICAN,UTAH,49013
DUKES,0002,5474,DEMOCRAT,MASSACHUSETTS,25007
DUKES,2004,7265,DEMOCRAT,MASSACHUSETTS,25007
DUKES,2008,7913,DEMOCRAT,MASSACHUSETTS,25007
DUKES,2012,7978,DEMOCRAT,MASSACHUSETTS,25007
DUKES,2016,8400,DEMOCRAT,MASSACHUSETTS,25007
DUKES,2020,9914,DEMOCRAT,MASSACHUSETTS,25007
DUNDY,0002,801,REPUBLICAN,NEBRASKA,31057
DUNDY,2004,858,REPUBLICAN,NEBRASKA,31057
DUNDY,2008,783,REPUBLICAN,NEBRASKA,31057
DUNDY,2012,792,REPUBLICAN,NEBRASKA,31057
DUNDY,2016,823,REPUBLICAN,NEBRASKA,31057
DUNDY,2020,883,REPUBLICAN,NEBRASKA,31057
DUNKLIN,0002,5426,REPUBLICAN,MISSOURI,29069
DUNKLIN,2004,6720,REPUBLICAN,MISSOURI,29069
DUNKLIN,2008,7044,REPUBLICAN,MISSOURI,29069
DUNKLIN,2012,6850,REPUBLICAN,MISSOURI,29069
DUNKLIN,2016,8026,REPUBLICAN,MISSOURI,29069
DUNKLIN,2020,8135,REPUBLICAN,MISSOURI,29069
DUNN,0002,1124,REPUBLICAN,NORTH DAKOTA,38025
DUNN,2000,9172,DEMOCRAT,WISCONSIN,55033
DUNN,2004,12039,DEMOCRAT,WISCONSIN,55033
DUNN,2008,13002,DEMOCRAT,WISCONSIN,55033
DUNN,2012,11316,DEMOCRAT,WISCONSIN,55033
DUNN,2016,11488,REPUBLICAN,WISCONSIN,55033
DUNN,2020,13173,REPUBLICAN,WISCONSIN,55033
DUPAGE,0002,201037,REPUBLICAN,ILLINOIS,17043
DUPAGE,2004,218902,REPUBLICAN,ILLINOIS,17043
DUPAGE,2008,228698,DEMOCRAT,ILLINOIS,17043
