State;Hectares;Year;Month;GID_0;Country;GID_1;Cropland_BA_hectares;Forest_BA_hectares;Grass_and_Shrubland_BA_hectares;Wetlands_BA_hectares;Settlement_BA_hectares;Other_BA_hectares;combined_BA;burned_area_state_index;Burned_Cropland_index;Burned_Forest_index;Burned_Grass_and_Shrubland_index;Burned_Wetlands_index;Burned_Settlement_index;Burned_Other_index
New York;14129700;2002;2;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;3;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;4;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;5;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;6;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;7;USA;United States;USA.33_1;21;0;0;0;0;0;21;0;0;0;0;0;0;0
New York;14129700;2002;8;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;9;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;10;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;11;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2002;12;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;1;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;2;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;3;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;4;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;5;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;6;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;7;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;8;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;9;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;10;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;11;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2003;12;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;1;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;2;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;3;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;4;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;5;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;6;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;7;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;8;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;9;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;10;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;11;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2004;12;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;1;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;2;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;3;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;4;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;5;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;6;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;7;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;8;USA;United States;USA.33_1;21;0;0;0;0;0;21;0;0;0;0;0;0;0
New York;14129700;2005;9;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;10;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;11;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2005;12;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2006;1;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2006;2;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2006;3;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
New York;14129700;2006;4;USA;United States;USA.33_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
