state,county,year_short,candidate_votes,party,county_fips,year
ALABAMA,CHILTON,2016,15081,REPUBLICAN,01021,1970-01-01 00:00:00.000002016
ALABAMA,CHILTON,2020,16085,REPUBLICAN,01021,1970-01-01 00:00:00.000002020
ALABAMA,CHOCTAW,2000,3707,DEMOCRAT,01023,1970-01-01 00:00:00.000002000
ALABAMA,CHOCTAW,2004,3897,REPUBLICAN,01023,1970-01-01 00:00:00.000002004
ALABAMA,CHOCTAW,2008,4223,REPUBLICAN,01023,1970-01-01 00:00:00.000002008
ALABAMA,CHOCTAW,2012,4152,REPUBLICAN,01023,1970-01-01 00:00:00.000002012
ALABAMA,CHOCTAW,2016,4106,REPUBLICAN,01023,1970-01-01 00:00:00.000002016
ALABAMA,CHOCTAW,2020,4296,REPUBLICAN,01023,1970-01-01 00:00:00.000002020
ALABAMA,CLARKE,2000,5988,REPUBLICAN,01025,1970-01-01 00:00:00.000002000
ALABAMA,CLARKE,2004,6730,REPUBLICAN,01025,1970-01-01 00:00:00.000002004
ALABAMA,CLARKE,2008,7466,REPUBLICAN,01025,1970-01-01 00:00:00.000002008
ALABAMA,CLARKE,2012,7470,REPUBLICAN,01025,1970-01-01 00:00:00.000002012
ALABAMA,CLARKE,2016,7140,REPUBLICAN,01025,1970-01-01 00:00:00.000002016
ALABAMA,CLARKE,2020,7324,REPUBLICAN,01025,1970-01-01 00:00:00.000002020
ALABAMA,CLAY,2000,3719,REPUBLICAN,01027,1970-01-01 00:00:00.000002000
ALABAMA,CLAY,2004,4624,REPUBLICAN,01027,1970-01-01 00:00:00.000002004
ALABAMA,CLAY,2008,4984,REPUBLICAN,01027,1970-01-01 00:00:00.000002008
ALABAMA,CLAY,2012,4817,REPUBLICAN,01027,1970-01-01 00:00:00.000002012
ALABAMA,CLAY,2016,5245,REPUBLICAN,01027,1970-01-01 00:00:00.000002016
ALABAMA,CLAY,2020,5601,REPUBLICAN,01027,1970-01-01 00:00:00.000002020
ALABAMA,CLEBURNE,2000,3333,REPUBLICAN,01029,1970-01-01 00:00:00.000002000
ALABAMA,CLEBURNE,2004,4370,REPUBLICAN,01029,1970-01-01 00:00:00.000002004
ALABAMA,CLEBURNE,2008,5216,REPUBLICAN,01029,1970-01-01 00:00:00.000002008
ALABAMA,CLEBURNE,2012,5272,REPUBLICAN,01029,1970-01-01 00:00:00.000002012
ALABAMA,CLEBURNE,2016,5764,REPUBLICAN,01029,1970-01-01 00:00:00.000002016
ALABAMA,CLEBURNE,2020,6484,REPUBLICAN,01029,1970-01-01 00:00:00.000002020
ALABAMA,COFFEE,2000,9938,REPUBLICAN,01031,1970-01-01 00:00:00.000002000
ALABAMA,COFFEE,2004,13019,REPUBLICAN,01031,1970-01-01 00:00:00.000002004
ALABAMA,COFFEE,2008,14919,REPUBLICAN,01031,1970-01-01 00:00:00.000002008
ALABAMA,COFFEE,2012,14666,REPUBLICAN,01031,1970-01-01 00:00:00.000002012
ALABAMA,COFFEE,2016,15875,REPUBLICAN,01031,1970-01-01 00:00:00.000002016
ALABAMA,COFFEE,2020,16899,REPUBLICAN,01031,1970-01-01 00:00:00.000002020
ALABAMA,COLBERT,2000,10543,DEMOCRAT,01033,1970-01-01 00:00:00.000002000
ALABAMA,COLBERT,2004,13188,REPUBLICAN,01033,1970-01-01 00:00:00.000002004
ALABAMA,COLBERT,2008,14739,REPUBLICAN,01033,1970-01-01 00:00:00.000002008
ALABAMA,COLBERT,2012,13936,REPUBLICAN,01033,1970-01-01 00:00:00.000002012
ALABAMA,COLBERT,2016,16746,REPUBLICAN,01033,1970-01-01 00:00:00.000002016
ALABAMA,COLBERT,2020,19203,REPUBLICAN,01033,1970-01-01 00:00:00.000002020
ALABAMA,CONECUH,2000,2783,DEMOCRAT,01035,1970-01-01 00:00:00.000002000
ALABAMA,CONECUH,2004,3271,REPUBLICAN,01035,1970-01-01 00:00:00.000002004
ALABAMA,CONECUH,2008,3470,REPUBLICAN,01035,1970-01-01 00:00:00.000002008
ALABAMA,CONECUH,2012,3555,DEMOCRAT,01035,1970-01-01 00:00:00.000002012
